start,end,run_id,task,variant,model,rep,attempt,harness_rc,wall_s,status
2026-09-23 11:22:55,2026-09-23 11:23:55,B3-paylink__prompt_noconstraint__opus-5.5__r2,B3-paylink,noconstraint,opus-5.5,r2,1,0,58.8,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 11:23:55,2026-09-23 11:27:18,A1-etcd__opus-5.5__r3,A1-etcd,default,opus-5.5,r3,1,1,,"not counted: harness error: .py"", line 771, in open"
2026-09-23 11:27:18,2026-09-23 11:27:18,A1-etcd__gpt-6-astra__r3,A1-etcd,default,gpt-6-astra,r3,1,1,,"not counted: harness error: ar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py"", line 1011, in mkdir"
2026-09-23 11:27:18,2026-09-23 11:27:18,A1-etcd__gpt-6-sol__r3,A1-etcd,default,gpt-6-sol,r3,1,1,,not counted: harness error: 
2026-09-23 11:27:18,2026-09-23 11:27:19,A2-pytest__gpt-6-astra__r3,A2-pytest,default,gpt-6-astra,r3,1,1,,"not counted: harness error: ar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py"", line 1011, in mkdir"
2026-09-23 11:27:19,2026-09-23 11:27:19,A2-pytest__gpt-6-sol__r3,A2-pytest,default,gpt-6-sol,r3,1,1,,"not counted: harness error: ar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py"", line 1011, in mkdir"
2026-09-23 11:27:19,2026-09-23 11:27:19,A2-pytest__opus-5.5__r3,A2-pytest,default,opus-5.5,r3,1,1,,"not counted: harness error: ar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py"", line 1011, in mkdir"
2026-09-23 11:27:19,2026-09-23 11:27:19,A3-ripgrep__gpt-6-sol__r3,A3-ripgrep,default,gpt-6-sol,r3,1,1,,"not counted: harness error: ar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/lib/python3.14/pathlib/__init__.py"", line 1011, in mkdir"
2026-09-23 12:55:17,2026-09-23 12:57:07,A1-etcd__opus-5.5__r3,A1-etcd,default,opus-5.5,r3,1,0,102.2,COUNTED
2026-09-23 12:57:07,2026-09-23 13:00:16,A1-etcd__gpt-6-astra__r3,A1-etcd,default,gpt-6-astra,r3,1,0,183.2,COUNTED
2026-09-23 12:55:16,2026-09-23 13:03:21,D-sqlx__opus-5.5__r2,D-sqlx,default,opus-5.5,r2,1,0,475.5,COUNTED
2026-09-23 12:55:16,2026-09-23 13:06:35,C-mcp__opus-5.5__r2,C-mcp,default,opus-5.5,r2,1,0,671.2,COUNTED
2026-09-23 13:00:16,2026-09-23 13:08:26,A1-etcd__gpt-6-sol__r3,A1-etcd,default,gpt-6-sol,r3,1,0,483.5,COUNTED
2026-09-23 13:08:26,2026-09-23 13:08:27,A2-pytest__gpt-6-astra__r3,A2-pytest,default,gpt-6-astra,r3,1,1,,"not counted: harness error: 14/lib/python3.14/subprocess.py"", line 578, in run"
2026-09-23 13:08:27,2026-09-23 13:08:27,A2-pytest__gpt-6-sol__r3,A2-pytest,default,gpt-6-sol,r3,1,1,,"not counted: harness error: 14/lib/python3.14/subprocess.py"", line 578, in run"
2026-09-23 13:08:27,2026-09-23 13:08:27,A2-pytest__opus-5.5__r3,A2-pytest,default,opus-5.5,r3,1,1,,"not counted: harness error: 14/lib/python3.14/subprocess.py"", line 578, in run"
2026-09-23 13:03:21,2026-09-23 13:10:12,D-sqlx__gpt-6-astra__r2,D-sqlx,default,gpt-6-astra,r2,1,0,407.1,COUNTED
2026-09-23 13:06:35,2026-09-23 13:10:45,C-mcp__gpt-6-astra__r2,C-mcp,default,gpt-6-astra,r2,1,0,249.3,not counted: discarded: provider capacity error mid-run
2026-09-23 13:10:45,2026-09-23 13:11:18,B1-flexdate__opus-5.5__r3,B1-flexdate,default,opus-5.5,r3,1,0,31.7,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:11:18,2026-09-23 13:14:55,B1-flexdate__gpt-6-astra__r3,B1-flexdate,default,gpt-6-astra,r3,1,0,214.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:14:55,2026-09-23 13:17:34,B1-flexdate__gpt-6-sol__r3,B1-flexdate,default,gpt-6-sol,r3,1,0,158.0,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:10:12,2026-09-23 13:21:07,D-sqlx__gpt-6-sol__r2,D-sqlx,default,gpt-6-sol,r2,1,0,652.8,COUNTED
2026-09-23 13:08:27,2026-09-23 13:22:45,A3-ripgrep__gpt-6-sol__r3,A3-ripgrep,default,gpt-6-sol,r3,1,0,856.6,COUNTED
2026-09-23 13:17:34,2026-09-23 13:26:36,B2-exprcalc__gpt-6-astra__r3,B2-exprcalc,default,gpt-6-astra,r3,1,0,541.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:22:45,2026-09-23 13:27:48,A3-ripgrep__opus-5.5__r3,A3-ripgrep,default,opus-5.5,r3,1,0,301.9,COUNTED
2026-09-23 13:26:36,2026-09-23 13:29:57,B2-exprcalc__gpt-6-sol__r3,B2-exprcalc,default,gpt-6-sol,r3,1,0,199.5,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:27:48,2026-09-23 13:29:57,A3-ripgrep__gpt-6-astra__r3,A3-ripgrep,default,gpt-6-astra,r3,1,0,128.6,COUNTED
2026-09-23 13:29:57,2026-09-23 13:30:26,B1-flexdate__prompt_noconstraint__opus-5.5__r3,B1-flexdate,noconstraint,opus-5.5,r3,1,0,28.3,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:29:57,2026-09-23 13:30:29,B2-exprcalc__opus-5.5__r3,B2-exprcalc,default,opus-5.5,r3,1,0,30.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:30:26,2026-09-23 13:32:04,B1-flexdate__prompt_noconstraint__gpt-6-astra__r3,B1-flexdate,noconstraint,gpt-6-astra,r3,1,0,97.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:30:29,2026-09-23 13:32:18,B2-exprcalc__prompt_noconstraint__gpt-6-astra__r3,B2-exprcalc,noconstraint,gpt-6-astra,r3,1,0,108.6,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:21:07,2026-09-23 13:32:19,B3-paylink__gpt-6-sol__r3,B3-paylink,default,gpt-6-sol,r3,1,0,670.5,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:32:19,2026-09-23 13:32:51,B3-paylink__opus-5.5__r3,B3-paylink,default,opus-5.5,r3,1,0,32.1,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:32:18,2026-09-23 13:33:50,B2-exprcalc__prompt_noconstraint__gpt-6-sol__r3,B2-exprcalc,noconstraint,gpt-6-sol,r3,1,0,90.7,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:32:04,2026-09-23 13:33:53,B1-flexdate__prompt_noconstraint__gpt-6-sol__r3,B1-flexdate,noconstraint,gpt-6-sol,r3,1,0,107.3,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:33:50,2026-09-23 13:34:26,B2-exprcalc__prompt_noconstraint__opus-5.5__r3,B2-exprcalc,noconstraint,opus-5.5,r3,1,0,35.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:32:51,2026-09-23 13:35:22,B3-paylink__gpt-6-astra__r3,B3-paylink,default,gpt-6-astra,r3,1,0,149.9,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:35:22,2026-09-23 13:37:38,B3-paylink__prompt_noconstraint__gpt-6-sol__r3,B3-paylink,noconstraint,gpt-6-sol,r3,1,0,135.2,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:37:38,2026-09-23 13:38:17,B3-paylink__prompt_noconstraint__opus-5.5__r3,B3-paylink,noconstraint,opus-5.5,r3,1,0,37.8,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:38:17,2026-09-23 13:40:23,B3-paylink__prompt_noconstraint__gpt-6-astra__r3,B3-paylink,noconstraint,gpt-6-astra,r3,1,0,125.4,"not counted: discarded batch v1 (B venv lacked pytest, harness bug)"
2026-09-23 13:34:26,2026-09-23 13:41:54,D-sqlx__gpt-6-astra__r3,D-sqlx,default,gpt-6-astra,r3,1,0,446.4,COUNTED
2026-09-23 13:33:53,2026-09-23 13:42:30,C-mcp__opus-5.5__r3,C-mcp,default,opus-5.5,r3,1,0,516.6,COUNTED
2026-09-23 13:41:54,2026-09-23 13:53:25,D-sqlx__gpt-6-sol__r3,D-sqlx,default,gpt-6-sol,r3,1,0,688.0,COUNTED
2026-09-23 13:42:30,2026-09-23 13:54:49,C-mcp__gpt-6-astra__r3,C-mcp,default,gpt-6-astra,r3,1,0,738.6,COUNTED
2026-09-23 13:57:30,2026-09-23 14:03:21,A2-pytest__gpt-6-astra__r3,A2-pytest,default,gpt-6-astra,r3,1,1,,"not counted: harness error: ine 771, in open"
2026-09-23 13:57:30,2026-09-23 14:03:36,D-sqlx__opus-5.5__r3,D-sqlx,default,opus-5.5,r3,1,1,,"not counted: harness error: , line 771, in open"
2026-09-23 13:57:29,2026-09-23 14:05:16,C-mcp__gpt-6-sol__r3,C-mcp,default,gpt-6-sol,r3,1,1,,"not counted: harness error: py"", line 771, in open"
2026-09-23 14:03:22,2026-09-23 14:06:16,A2-pytest__gpt-6-sol__r3,A2-pytest,default,gpt-6-sol,r3,1,0,172.3,COUNTED
2026-09-23 14:06:16,2026-09-23 14:09:25,A2-pytest__opus-5.5__r3,A2-pytest,default,opus-5.5,r3,1,0,186.8,COUNTED
2026-09-23 14:09:32,2026-09-23 14:12:45,A2-pytest__gpt-6-astra__r3,A2-pytest,default,gpt-6-astra,r3,1,0,190.1,COUNTED
2026-09-23 14:09:35,2026-09-23 14:15:08,D-sqlx__opus-5.5__r3,D-sqlx,default,opus-5.5,r3,1,0,331.0,COUNTED
2026-09-23 14:09:32,2026-09-23 14:15:16,C-mcp__gpt-6-sol__r3,C-mcp,default,gpt-6-sol,r3,1,0,343.4,COUNTED
2026-09-23 16:16:50,2026-09-23 16:17:16,B3-paylink__opus-5.5__r1,B3-paylink,default,opus-5.5,r1,1,0,24.9,not counted: invalid (retried): no result event
2026-09-23 16:16:50,2026-09-23 16:17:57,B2-exprcalc__gpt-6-sol__r1,B2-exprcalc,default,gpt-6-sol,r1,1,0,65.3,COUNTED
2026-09-23 16:16:50,2026-09-23 16:18:00,B1-flexdate__gpt-6-astra__r1,B1-flexdate,default,gpt-6-astra,r1,1,0,68.5,COUNTED
2026-09-23 16:17:57,2026-09-23 16:18:23,B2-exprcalc__opus-5.5__r1,B2-exprcalc,default,opus-5.5,r1,1,0,25.6,not counted: invalid (retried): no result event
2026-09-23 16:18:00,2026-09-23 16:18:59,B1-flexdate__gpt-6-sol__r1,B1-flexdate,default,gpt-6-sol,r1,1,0,58.1,COUNTED
2026-09-23 16:18:59,2026-09-23 16:19:23,B1-flexdate__opus-5.5__r1,B1-flexdate,default,opus-5.5,r1,1,0,23.0,COUNTED
2026-09-23 16:19:16,2026-09-23 16:19:41,B3-paylink__opus-5.5__r1,B3-paylink,default,opus-5.5,r1,2,0,24.1,"not counted: discarded batch v2 (B3 answer files readable in /tmp; misleading ""localhost works"" note)"
2026-09-23 16:20:23,2026-09-23 16:20:52,B2-exprcalc__opus-5.5__r1,B2-exprcalc,default,opus-5.5,r1,2,0,28.0,COUNTED
2026-09-23 16:20:52,2026-09-23 16:22:37,B2-exprcalc__gpt-6-astra__r1,B2-exprcalc,default,gpt-6-astra,r1,1,0,103.6,COUNTED
2026-09-23 16:19:23,2026-09-23 16:23:07,B1-flexdate__prompt_noconstraint__gpt-6-astra__r1,B1-flexdate,noconstraint,gpt-6-astra,r1,1,0,223.9,COUNTED
2026-09-23 16:22:37,2026-09-23 16:23:55,B2-exprcalc__prompt_noconstraint__gpt-6-sol__r1,B2-exprcalc,noconstraint,gpt-6-sol,r1,1,0,76.5,COUNTED
2026-09-23 16:23:55,2026-09-23 16:24:20,B2-exprcalc__prompt_noconstraint__opus-5.5__r1,B2-exprcalc,noconstraint,opus-5.5,r1,1,0,24.1,COUNTED
2026-09-23 16:23:07,2026-09-23 16:25:02,B1-flexdate__prompt_noconstraint__gpt-6-sol__r1,B1-flexdate,noconstraint,gpt-6-sol,r1,1,0,113.3,COUNTED
2026-09-23 16:25:02,2026-09-23 16:25:33,B1-flexdate__prompt_noconstraint__opus-5.5__r1,B1-flexdate,noconstraint,opus-5.5,r1,1,0,30.5,COUNTED
2026-09-23 16:19:41,2026-09-23 16:25:44,B3-paylink__gpt-6-astra__r1,B3-paylink,default,gpt-6-astra,r1,1,0,361.8,"not counted: discarded batch v2 (B3 answer files readable in /tmp; misleading ""localhost works"" note)"
2026-09-23 16:24:20,2026-09-23 16:25:47,B2-exprcalc__prompt_noconstraint__gpt-6-astra__r1,B2-exprcalc,noconstraint,gpt-6-astra,r1,1,0,85.9,COUNTED
2026-09-23 16:25:33,2026-09-23 16:26:09,D-sqlx__gpt-6-astra__r1,D-sqlx,default,gpt-6-astra,r1,1,0,34.8,"not counted: invalid (retried): ,""error"":{""message"":""Selected model is at capacity. Please try a different model.""}}"
2026-09-23 16:25:44,2026-09-23 16:30:41,B3-paylink__gpt-6-sol__r1,B3-paylink,default,gpt-6-sol,r1,1,0,296.6,"not counted: discarded batch v2 (B3 answer files readable in /tmp; misleading ""localhost works"" note)"
2026-09-23 16:30:41,2026-09-23 16:31:11,B3-paylink__prompt_noconstraint__opus-5.5__r1,B3-paylink,noconstraint,opus-5.5,r1,1,0,29.4,"not counted: discarded batch v2 (B3 answer files readable in /tmp; misleading ""localhost works"" note)"
2026-09-23 16:31:11,2026-09-23 16:33:03,B3-paylink__prompt_noconstraint__gpt-6-astra__r1,B3-paylink,noconstraint,gpt-6-astra,r1,1,0,110.2,"not counted: invalid (retried): ,""error"":{""message"":""Selected model is at capacity. Please try a different model.""}}"
2026-09-23 16:28:09,2026-09-23 16:35:07,D-sqlx__gpt-6-astra__r1,D-sqlx,default,gpt-6-astra,r1,2,0,413.8,COUNTED
2026-09-23 16:25:47,2026-09-23 16:35:45,A3-ripgrep__gpt-6-sol__r2,A3-ripgrep,default,gpt-6-sol,r2,1,0,597.4,COUNTED
2026-09-23 16:35:45,2026-09-23 16:36:09,B2-exprcalc__opus-5.5__r2,B2-exprcalc,default,opus-5.5,r2,1,0,23.4,COUNTED
2026-09-23 16:36:09,2026-09-23 16:38:46,B2-exprcalc__gpt-6-astra__r2,B2-exprcalc,default,gpt-6-astra,r2,1,0,156.0,COUNTED
2026-09-23 16:35:03,2026-09-23 16:43:18,B3-paylink__prompt_noconstraint__gpt-6-astra__r1,B3-paylink,noconstraint,gpt-6-astra,r1,2,0,493.5,"not counted: discarded batch v2 (B3 answer files readable in /tmp; misleading ""localhost works"" note)"
2026-09-23 16:35:07,2026-09-23 16:44:24,B1-flexdate__gpt-6-sol__r2,B1-flexdate,default,gpt-6-sol,r2,1,0,556.1,COUNTED
2026-09-23 16:44:24,2026-09-23 16:44:47,B1-flexdate__opus-5.5__r2,B1-flexdate,default,opus-5.5,r2,1,0,21.5,COUNTED
2026-09-23 16:38:46,2026-09-23 16:45:53,B2-exprcalc__gpt-6-sol__r2,B2-exprcalc,default,gpt-6-sol,r2,1,0,425.1,COUNTED
2026-09-23 16:45:53,2026-09-23 16:46:18,B2-exprcalc__prompt_noconstraint__opus-5.5__r2,B2-exprcalc,noconstraint,opus-5.5,r2,1,0,24.1,COUNTED
